"Geneid" "Length"
"Chd6" 19093
"Gm25561" 125
"Gm45447" 1805
"Gm14243" 2172
"Gm14242" 375
"Gm5270" 1002
"Gm11448" 450
"Gm14241" 264
"Gm11449" 476
"Gm29229" 323
"Ptprt" 12611
"Ptprtos" 630
"9430021M05Rik" 1201
"Gm14246" 680
"Gm22936" 126
"Gm11450" 333
"Gm24478" 158
"Gm14255" 248
"Gm11451" 630
"Gm11452" 690
"Srsf6" 4810
"L3mbtl1" 4193
"Gm11453" 1007
"Sgk2" 3412
"Ift52" 2802
"Mybl2" 4632
"Mir7003" 66
"Gtsf1l" 822
"Gm22174" 125
"Gm11454" 714
"Gm14254" 296
"Tox2" 3401
"Jph2" 4255
"Oser1" 2600
"2900093K20Rik" 567
"Gdap1l1" 2580
"Fitm2" 3967
"2310001K24Rik" 740
"R3hdml" 1094
"Hnf4aos" 954
"Hnf4a" 4828
"Gm25881" 103
"Ttpal" 5951
"Serinc3" 3840
"0610039K10Rik" 952
"Pkig" 3990
"Gm16316" 3393
"Ada" 2002
"Wisp2" 1924
"Kcnk15" 2003
"Rims4" 4962
"Ywhab" 3382
"Pabpc1l" 2724
"Tomm34" 3040
"Stk4" 5860
"Gm11455" 733
"n-R5s207" 118
"Kcns1" 2712
"Wfdc5" 2322
"A730032A03Rik" 2153
"Wfdc12" 775
"Wfdc15a" 488
"Wfdc15b" 572
"Svs2" 1985
"Svs3b" 1249
"Svs4" 731
"Svs3a" 1200
"Svs6" 535
"Svs5" 646
"Slpi" 1180
"Mir7678" 71
"Matn4" 5174
"Rbpjl" 5732
"Sdc4" 2547
"Sys1" 4958
"Gm14302" 382
"Gm20458" 1369
"Trp53tg5" 934
"Dbndd2" 4389
"Pigt" 3856
"Gm14317" 1464
"Wfdc2" 1140
"Spint3" 557
"Wfdc6a" 867
"Eppin" 778
"Wfdc8" 3580
"Gm25512" 107
"Wfdc6b" 984
"Gm24473" 131
"Wfdc16" 1116
"Gm11456" 256
"Wfdc9" 547
"Wfdc10" 459
"Wfdc11" 617
"Wfdc13" 1074
"Spint4" 751
"Spint5" 453
"Wfdc3" 2530
"Dnttip1" 2122
"Gm11457" 735
"Gm22596" 316
"Ube2c" 2600
"Tnnc2" 800
"Snx21" 4760
"Acot8" 1994
"Zswim3" 2708
"Zswim1" 2781
"Spata25" 1138
"Neurl2" 1014
"Ctsa" 4715
"Pltp" 2562
"Pcif1" 6544
"Zfp335" 4743
"Zfp335os" 1273
"Mmp9" 3539
"Slc12a5" 7447
"Ncoa5" 4383
"Cd40" 3406
"1700025C18Rik" 702
"Cdh22" 3702
"Gm14397" 576
"Gm25569" 131
"Slc35c2" 3914
"Elmo2" 6652
"Zfp663" 3773
"Zfp334" 8205
"Ocstamp" 3657
"Slc13a3" 5215
"Gm14437" 360
"Trp53rka" 2118
"Slc2a10" 3570
"Eya2" 2963
"Gm28163" 325
"Gm11460" 361
"Zmynd8" 11031
"BC046401" 847
"Gm11465" 435
"Gm22692" 125
"Gm11461" 387
"Gm11462" 562
"Platr29" 830
"Gm11464" 537
"Ncoa3" 7895
"Sulf2" 5871
"Gm22687" 105
"Gm11466" 291
"Gm11467" 674
"Gm11468" 383
"Gm14268" 968
"5031425F14Rik" 2098
"Gm14267" 3153
"Prex1" 10266
"Gm23152" 116
"Gm25265" 347
"Gm24477" 103
"Trp53rkb" 5755
"Arfgef2" 8770
"Cse1l" 5273
"Gm17096" 733
"Stau1" 6065
"Gm11470" 1475
"Ddx27" 4817
"Znfx1" 8189
"Zfas1" 2929
"Gm27494" 189
"Gm25878" 93
"Gm23201" 89
"Snord12" 90
"Gm11472" 556
"Gm11471" 198
"Kcnb1" 11488
"1110018N20Rik" 1579
"Ptgis" 2567
"Gm14291" 804
"Gm11473" 359
"B4galt5" 4308
"Slc9a8" 9095
"Spata2" 4510
"Rnf114" 3356
"Gm11474" 277
"Snai1" 1621
"Gm11476" 2019
"Gm11475" 476
"Ube2v1" 2721
"Gm20431" 2367
"Tmem189" 3265
"Gm22355" 96
"Gm14320" 1023
"Cebpb" 1504
"A530013C23Rik" 5964
"Gm14321" 852
"9230111E07Rik" 811
"1200007C13Rik" 2455
"Gm14319" 703
"Ptpn1" 5533
"Ripor3" 4244
"Gm14236" 872
"Gm24327" 78
"Pard6b" 3399
"Gm14235" 366
"E130018N17Rik" 1309
"Gm24561" 95
"Adnp" 5350
"Gm20716" 5288
"Dpm1" 7489
"Mocs3" 1973
"Gm14237" 430
"Kcng1" 4508
"Gm14262" 326
"Gm22704" 137
"Gm14234" 845
"Nfatc2" 10578
"Atp9a" 5917
"Mir7004" 64
"Sall4" 5536
"Gm14261" 1429
"Gm25214" 129
"Zfp64" 5918
"1700017J07Rik" 473
"Gm14260" 260
"Gm9873" 1361
"Gm26469" 121
"Gm14258" 2031
"9430093N23Rik" 515
"Gm14250" 566
"4930529I22Rik" 589
"Gm14249" 1017
"Gm11011" 258
"Gm34294" 4263
"Tshz2" 7781
"Gm26883" 5115
"AY702102" 1173
"A630075F10Rik" 1913
"Zfp217" 6139
"Gm17619" 1449
"Gm14270" 846
"Bcas1" 3775
"Bcas1os2" 1174
"Bcas1os1" 1239
"Gm14269" 306
"Cyp24a1" 3560
"Pfdn4" 2520
"Gm16796" 3172
"Gm14637" 444
"4930470P17Rik" 1395
"Gm14264" 1864
"Dok5" 1768
"Gm14263" 746
"Gm14266" 1282
"Gm14640" 437
"1700007M16Rik" 435
"Gm26489" 264
"1700028P15Rik" 3553
"Gm14272" 484
"Gm14641" 452
"Cbln4" 2902
"Gm14271" 630
"Gm14274" 615
"Gm44301" 143
"Mc3r" 2623
"Gm14275" 430
"Gm14273" 1786
"Fam210b" 3617
"Aurka" 2531
"Cstf1" 3504
"Cass4" 5340
"Gm14455" 2146
"Rtfdc1" 2644
"Gcnt7" 2220
"Fam209" 698
"Gm14303" 171
"Tfap2c" 3679
"Gm22773" 78
"Bmp7" 4019
"Spo11" 3921
"Rae1" 2554
"Rbm38" 2869
"Gm20490" 198
"Gm14453" 553
"Ctcfl" 3217
"Ctcflos" 5098
"Pck1" 3429
"Zbp1" 3529
"Pmepa1" 4913
"Pmepa1os" 680
"Gm14642" 470
"1700021F07Rik" 646
"Ankrd60" 1189
"Ppp4r1l-ps" 12025
"Rab22a" 7206
"Mir6340" 119
"1700010B08Rik" 899
"Vapb" 7131
"Gm14371" 1518
"Gm14336" 475
"Atp5k-ps2" 210
"Vamp7-ps" 655
"Stx16" 3962
"Npepl1" 2998
"Gm10714" 875
"Gm27591" 68
"Mir296" 79
"Mir298" 82
"Nespas" 3143
"Gnas" 11186
"Gm27899" 64
"Gm27869" 122
"Gm27849" 125
"Gm20721" 1484
"Nelfcd" 2883
"Ctsz" 1441
"Rpl30-ps5" 361
"Tubb1" 1406
"Atp5e" 1756
"Prelid3b" 1860
"Gm14385" 876
"Vmn1r-ps1" 573
"Zfp831" 9807
"Edn3" 4113
"Gm14617" 1345
"Gm14618" 740
"Gm14616" 314
"Gm14444" 2009
"Gm16354" 150
"Gm14445" 1484
"Gm14393" 937
"Gm14439" 441
"Gm14387" 2055
"Gm14392" 401
"Gm14399" 2561
"Gm16355" 231
"Gm14443" 4859
"Gm14391" 7822
"Gm14442" 1736
"Gm14438" 624
"Gm14440" 3382
"Gm14298" 237
"Gm4631" 4402
"Zfp968" 3042
"Gm14297" 291
"Gm4724" 2631
"Zfp965" 2325
"Gm11007" 1501
"Gm16359" 289
"Zfp969" 1758
"Gm2007" 1501
"Gm16358" 210
"Gm14288" 3438
"Rps8-ps2" 624
"Gm2020" 579
"Gm6710" 3440
"Gm16356" 169
"Zfp966" 2988
"Gm2026" 3043
"Gm11008" 753
"Gm16357" 474
"Gm2004" 1753
"Gm6182" 1208
"2210418O10Rik" 3936
"Gm17258" 1266
"Gm1980" 2306
"Gm11009" 417
"Gm14435" 1508
"Gm16362" 214
"Gm14434" 2774
"Zfp967" 1754
"Gm14307" 291
"Gm14308" 3329
"Zfp973" 2709
"Gm14305" 2500
"Gm14301" 324
"Gm14390" 1695
"Gm14295" 3527
"Gm14408" 408
"Gm14405" 2330
"Gm14296" 9870
"Gm14417" 1074
"Gm14419" 2680
"Gm14402" 508
"Gm14421" 1958
"Gm14401" 1329
"Gm14407" 447
"Gm14415" 1578
"Gm14411" 914
"Gm14416" 2308
"Gm14413" 408
"Gm14410" 2398
"Gm14400" 2135
"Gm14409" 1050
"Gm14412" 1581
"Gm14418" 2441
"Gm14404" 1660
"Gm14414" 573
"Zfp970" 2172
"Gm14403" 1656
"Gm16363" 877
"Gm14406" 1621
"Gm14324" 3051
"Gm14322" 1254
"Gm14325" 1616
"Gm14429" 2024
"Gm14323" 627
"Gm14327" 1451
"Zfp972" 864
"Gm14326" 2863
"Gm14428" 822
"Zfp971" 2145
"Gm26869" 3523
"Zfp931" 2299
"Phactr3" 6407
"Sycp2" 5967
"Ppp1r3d" 3267
"Fam217b" 4559
"Cdh26" 3012
"Gm14314" 1015
"Gm14292" 456
"Gm14293" 577
"Gm14294" 751
"4930591A17Rik" 737
"Cdh4" 7257
"Gm14300" 946
"Taf4" 4621
"4921531C22Rik" 1967
"Gm14299" 397
"Lsm14b" 2892
"Psma7" 3072
"Ss18l1" 4343
"Mtg2" 5949
"Hrh3" 3146
"Gm17180" 435
"Osbpl2" 4187
"Adrm1" 4457
"Lama5" 11388
"Mir7005" 69
"Rps21" 810
"Mir3091" 76
"Cables2" 4597
"Rbbp8nl" 2319
"Gata5" 3277
"Gata5os" 1678
"B230312C02Rik" 1703
"Mir1a-1" 77
"Mir133a-2" 104
"Slco4a1" 4799
"Ntsr1" 3917
"Mrgbp" 3499
"Ogfr" 2580
"Col9a3" 3853
"Tcfl5" 3166
"Dido1" 13307
"Gm22502" 107
"Gid8" 2464
"Slc17a9" 3200
"Gm14343" 731
"Bhlhe23" 2520
"Gm14340" 1913
"Gm14342" 2119
"Gm14344" 580
"Gm22842" 118
"Gm14339" 423
"Mir124a-3" 68
"Gm27032" 1116
"Ythdf1" 3316
"Birc7" 1532
"Nkain4" 1239
"Gm14341" 667
"Arfgap1" 5367
"9230112E08Rik" 3352
"Col20a1" 5142
"Chrna4" 5022
"Kcnq2" 16273
"Eef1a2" 2084
"Gm24892" 104
"Ppdpf" 1336
"Ptk6" 3689
"Srms" 2562
"Gm14398" 1073
"Fndc11" 1475
"Helz2" 11529
"Gmeb2" 4988
"Gm7645" 788
"Stmn3" 1136
"Rtel1" 6616
"Arfrp1" 4320
"Zgpat" 5624
"Lime1" 2304
"Slc2a4rg-ps" 2976
"Zbtb46" 8508
"Gm22708" 103
"Abhd16b" 1775
"Tpd52l2" 4982
"Gm25184" 163
"Dnajc5" 6953
"Uckl1" 4629
"Uckl1os" 2522
"Zfp512b" 6810
"Mir7006" 69
"Prpf6" 3859
"Samd10" 2448
"Gm29797" 755
"Gm25879" 107
"Sox18" 1620
"Tcea2" 2704
"Rgs19" 2230
"Lkaaear1" 733
"Oprl1" 3753
"Gm14489" 901
"Myt1" 7191
"Pcmtd2" 4183
"Polr3k" 3124
"Gm5466" 1890
"Gm14496" 3064
"Gm28002" 100
"Gm27460" 100
"Gm37338" 127
"Gm8747" 751
"Hnf4g" 2630
"Gm37000" 428
"Gm23237" 92
"Rps24-ps2" 395
"Gm2071" 774
"Gm2077" 319
"Gm8775" 1327
"Gm23976" 101
"n-R5s194" 119
"Gm34023" 217
"Gm38131" 430
"Gm37029" 239
"Gm22944" 133
"Gm37763" 120
"Gm37801" 274
"1110015O18Rik" 2035
"Gm6140" 966
"Gm17308" 1997
"2700069I18Rik" 1138
"Gm10748" 2379
"Zfhx4" 15737
"4930555M17Rik" 402
"Pex2" 2270
"Gm8797" 490
"Gm37350" 313
"Gm25352" 110
"Gm25144" 110
"Gm17934" 422
"Gm6162" 2930
"Gm38298" 118
"Gm23147" 110
"Gm18658" 270
"Gm5272" 982
"Gm38291" 259
"1700008P02Rik" 783
"Olfr289-ps1" 369
"Gm22074" 113
"Gm8823" 433
"Pkia" 3721
"Gm37918" 120
"Gm8826" 948
"Gm23592" 117
"Zc2hc1a" 3508
"Il7" 5664
"Gm16685" 1592
"Gm29747" 585
"1700010I02Rik" 577
"Gm7103" 1852
"Gm5841" 2177
"Gm24614" 107
"1700003N22Rik" 808
"Stmn2" 5602
"Gm18822" 1025
"Gm32496" 702
"Hey1" 3265
"Gm38007" 313
"Gm23670" 119
"C230057A21Rik" 3491
"Gm37647" 3143
"Mrps28" 783
"Gm15467" 445
"Gm15466" 333
"Tpd52" 7487
"Gm37616" 322
"4930539M17Rik" 846
"Gm8860" 445
"Zbtb10" 7414
"Gm22604" 311
"C030034L19Rik" 5786
"Zfp704" 15255
"Gm38001" 3761
"Gm17806" 383
"Pag1" 9580
"Gm16337" 917
"Gm24786" 109
"Gm6236" 1009
"Gm17877" 814
"Fabp5" 3567
"Gm38335" 1789
"Gm9833" 1830
"Gm37308" 100
"Pmp2" 1408
"Gm37389" 1568
"Fabp9" 649
"Fabp4" 4489
"4632432E15Rik" 2439
"Gm37421" 132
"1700029B24Rik" 497
"Fabp12" 2787
"A930014E01Rik" 330
"Gm38364" 179
"Impa1" 5437
"Gm38303" 536
"Slc10a5" 3923
"Zfand1" 6267
"Chmp4c" 10087
"Snx16" 2632
"Gm37831" 1787
"Gm18692" 511
"Gm37244" 1981
"Gm22795" 118
"Gm21631" 754
"Gm37832" 189
"Gm22547" 101
"Gm8919" 1014
"Gm10745" 1523
"Gm37996" 367
"Gm2429" 586
"Gm8935" 2798
"Gm8939" 964
"Gm38317" 343
"Gm37813" 3695
"Gm37197" 401
"Gm2464" 3428
"Ralyl" 3672
"Gm37164" 637
"Gm2474" 559
"Gm19114" 1357
"Gm25981" 295
"Gm22026" 281
"Gm23112" 125
"Gm38311" 165
"Gm6300" 1498
"Gm37358" 479
"Gm8955" 1008
"Slc7a12" 1741
"Gm8957" 1012
"Lrrcc1" 7475
"Gm17119" 280
"E2f5" 1782
"1810022K09Rik" 1753
"Gm38151" 289
"Car13" 2299
"Gm5843" 476
"Car1" 1248
"Gm16399" 219
"Car3" 2865
"Car2" 2422
"A930001A20Rik" 1366
"Gm7132" 984
"Gm33819" 1221
"Gm9733" 618
"Sirpb1a" 2291
"Sirpb1b" 2877
"Gm37468" 854
"Sirpb1c" 3682
"Gm6321" 1090
"Gm7343" 1061
"Gm5150" 1213
"Gm24694" 110
"Gm37836" 175
"Gm25863" 329
"Ythdf3" 5363
"Gm26485" 64
"Gm5283" 334
"Gm24963" 144
"Gm6350" 1339
"Gm30340" 2198
"Gm19694" 505
"Gm38154" 340
"Mir124-2hg" 6013
"Mir124a-2" 109
"Gm23441" 127
"Gm19175" 916
"Cypt12" 550
"Gm5844" 2191
"Bhlhe22" 3344
"Gm23726" 67
"Cyp7b1" 2166
"Gm23686" 164
"Gm43834" 4830
"Gm30667" 870
"4930433B08Rik" 644
"Gm6369" 412
"Pgk1-ps3" 1201
"Gm37317" 1024
"Gm42944" 3980
"Gm30341" 289
"Armc1" 3673
"Gm37979" 712
"Mtfr1" 4372
"Pde7a" 7748
"Gm16093" 392
"Gm22282" 312
"Dnajc5b" 1259
"Gm23330" 164
"Gm6141" 695
"1700064H15Rik" 394
"Trim55" 2659
"BC002189" 598
"Crh" 1320
"Gm18864" 1051
"Gm7442" 383
"4632415L05Rik" 4099
"Gm37523" 412
"Gm17771" 1147
"Cp" 9566
"Hps3" 9103
"Hltf" 5931
"Gyg" 2344
"Cpa3" 1517
"Mir7007" 70
"Cpb1" 3284
"Gm43525" 616
"Agtr1b" 2147
"Gm18426" 973
"Gm42594" 246
"Gm31466" 916
"Gm18491" 1594
"Gm38323" 210
"Gm18493" 1612
"Gm37480" 550
"Gm7488" 684
"Gm43160" 421
"Gm29137" 520
"Gm43675" 1184
"Gm17935" 772
"Gm31693" 909
"7530428D23Rik" 975
"Gm43674" 791
"Gm43671" 433
"Gm43672" 1731
"Tbl1xr1" 8903
"Gm5842" 622
"Rprl2" 290
"Gm38324" 411
"Gm37636" 359
"Gm26354" 129
"Spin3-ps" 770
"Gm37889" 251
"Gm36983" 1102
"Gm37021" 663
"Gm37492" 376
"4930412E21Rik" 778
"Naaladl2" 10411
"Gm7536" 444
"Gm24704" 107
"Gm24062" 266
"Gm42774" 283
"Gm37136" 194
"Gm38002" 180
"Gm10259" 1590
"Nlgn1" 13422
"Gm24250" 135
"Gm37573" 931
"Gm6197" 454
"A830092H15Rik" 1745
"Gm4855" 1967
"Gm25773" 127
"Spata16" 2112
"Gm37659" 111
"Gm44464" 138
"Gm7558" 1165
"Ect2" 5386
"Gm25152" 114
"1700125G22Rik" 861
"Nceh1" 5253
"Gm37191" 388
"Gm43345" 269
"Tnfsf10" 5266
"Ghsr" 4433
"Fndc3b" 11485
"Gm43344" 1229
"Mir3092" 96
"Tmem212" 716
"Gm26040" 161
"Pld1" 12961
"Gm42196" 730
"Gm37098" 244
"Tnik" 19282
"Gm37537" 1738
"Mir466q" 76
"Slc2a2" 5755
"1700112D23Rik" 723
"Gm6505" 648
"Eif5a2" 5027
"Gm32950" 232
"Rpl22l1" 1989
"Gm33051" 274
"Gm37867" 1059
"Gm37924" 3647
"Gm1527" 2120
"Egfem1" 4177
"Gm38029" 2090
"Gm37965" 1362
"Mir551b" 98
"Mir21b" 108
"Gm37557" 139
"Gm33206" 454
"Mannr" 1438
"Gm37281" 439
"Mecom" 12427
"Mecomos" 6253
"Gm38066" 1634
"Gm38197" 2122
"Gm10258" 2123
"Gm38362" 2064
"Gm37024" 868
"Gm37652" 2095
"Gm38258" 675
"Gm38153" 472
"1600017P15Rik" 914
"Actrt3" 1961
"Mynn" 6764
"Lrrc34" 1891
"Lrriq4" 2762
"Lrrc31" 5530
"Gm15462" 4580
"Samd7" 3999
"4933429H19Rik" 995
"Sec62" 4343
"Gm38080" 268
"Gpr160" 4227
"Phc3" 17485
"9530022L04Rik" 310
"Gm2979" 463
"Prkci" 5551
"Mir7008" 63
"Skil" 9694
"Cldn11" 1870
"Slc7a14" 9829
"Gm15496" 2507
"Gm38025" 2308
"Gm6558" 2117
"Kcnmb2" 3128
"Gm37834" 3035
"Gm37770" 772
"Zmat3" 11435
"Gm36990" 1412
"Pik3ca" 9088
"Gm37123" 1171
"Kcnmb3" 1715
"Zfp639" 5475
"Gm37592" 373
"Mfn1" 6114
"Gnb4" 12692
"Gm37640" 300
"Actl6a" 3886
"Gm37353" 313
"Mrpl47" 4419
"Ndufb5" 4995
"Usp13" 7599
"Gm15574" 405
"Gm37459" 3365
"Pex5l" 8846
"Gm23214" 157
"4930419G24Rik" 1058
"Gm37443" 2827
"Gm19445" 2438
"Gm37128" 232
"Gm27974" 105
"Gm37031" 2530
"Gm24780" 143
"Gm37398" 1466
"Gm5845" 796
"Gm42694" 358
"Gm43666" 2989
"Gm18611" 1118
"Ttc14" 10515
"Ccdc39" 7443
"Gm43140" 456
"4930431L21Rik" 718
"4930502C17Rik" 948
"Gm23175" 132
"Gm9791" 447
"Gm43077" 491
"Fxr1" 6553
"Gm43667" 1095
"Dnajc19" 4027
"Gm43668" 5342
"Sox2ot" 11594
"Gm5708" 886
"Gm38505" 1326
"Gm34599" 288
"Gm20515" 4824
"Gm29135" 612
"Gm27403" 214
"Gm42695" 818
"Gm42205" 804
"Mir1897" 272
"Gm42692" 2833
"Sox2" 2057
"Gm27611" 108
"Gm42693" 631
"Gm43206" 114
"Gm3143" 960
"Gm38509" 1150
"AC158938.1" 6720
"Mir6378" 107
"1700017M07Rik" 940
"Gm25442" 92
"Gm43078" 168
"Gm7733" 919
"Ube2l3-ps1" 436
"Gm6639" 4231
"Gm25696" 105
"Atp11b" 9176
"Gm43203" 558
"Gm7741" 989
"Dcun1d1" 9023
"Gm15952" 956
"8430422M14Rik" 822
"Mccc1" 10952
"Gm43080" 2643
"B230207O21Rik" 321
"Mccc1os" 7442
"Ccdc144b" 6768
"Acad9" 8192
"Gm43079" 559
"Gm43205" 1968
"D3Ertd254e" 6800
"Qrfpr" 2192
"Gm43255" 1437
"Gm18893" 943
"Gm42208" 670
"Gm17835" 499
"Gm17887" 547
"Anxa5" 1777
"Mir7009" 64
"1810062G17Rik" 911
"Gm11548" 2199
"Gm11549" 2829
"Gm43537" 3110
"Gm11550" 699
"Exosc9" 4709
"Ccna2" 4083
"Bbs7" 5390
"Trpc3" 5419
"Gm12377" 252
"Gm12376" 607
"4932438A13Rik" 32279
"Gm12531" 487
"Adad1" 3270
"Gm12582" 697
"Gm12583" 853
"Gm12584" 1105
"Il2" 1144
"Gm12532" 2684
"Il21" 5259
"Gm12534" 469
"Gm43822" 476
"Gm24169" 110
"Cetn4" 4032
"Gm43439" 322
"Bbs12" 2436
"Gm12540" 319
"Fgf2os" 1441
"Gm43488" 2504
"Fgf2" 6782
"Gm42923" 2896
"Nudt6" 1677
"Spata5" 3887
"Gm43484" 5966
"Gm12564" 321
"Gm12565" 649
"4930594O21Rik" 1089
"Gm42922" 2078
"Spry1" 2906
"Gm43820" 3346
"Gm43414" 3188
"Gm5148" 3901
"Rps23-ps1" 425
"Rpl31-ps15" 375
"Gm42921" 655
"Gm26404" 109
"Gm42752" 1106
"Gm42753" 1268
"Gm20755" 1827
"Gm7799" 476
"Gm42751" 559
"Gm22899" 131
"Gm43821" 729
"Rpl21-ps10" 480
"5430434I15Rik" 1257
"Gm2965" 343
"Gm25574" 249
"Gm42920" 409
"3830422I06Rik" 1181
"Gm36823" 2179
"Gm7815" 832
"Ankrd50" 8490
"Gm24462" 106
"Gm7824" 532
"Gm43538" 849
"C230034O21Rik" 2836
"Fat4" 17165
"Gm43539" 363
"Gm43308" 373
"Gm43008" 286
"Gm9845" 598
"n-R5s195" 119
"Gm42781" 2719
"Gm23796" 160
"Gm23831" 85
"Gm42786" 280
"Gm42785" 3835
"1700017G19Rik" 2904
"Gm23810" 74
"Intu" 7428
"Gm16114" 300
"Slc25a31" 2128
"Hspa4l" 11792
"Plk4" 6855
"Mfsd8" 9414
"Gm2011" 4557
"Abhd18" 11184
"Gm10731" 448
"Gm44136" 1106
"Gm44524" 271
"6430590A07Rik" 4487
"1700034I23Rik" 2348
"Larp1b" 8212
"Gm22043" 158
"Gm42436" 3656
"Gm42437" 923
"Pgrmc2" 3242
"Gm40038" 1370
"Gm16508" 2742
"1700052H01Rik" 1025
"Gm25487" 125
"Gm40040" 720
"Platr4" 2553
"Gm6069" 463
"2400006E01Rik" 874
"Jade1" 8492
"Gm31266" 656
"Sclt1" 7569
"Gm38047" 1133
"D3Ertd751e" 5813
"Gm37268" 2614
"Gm7899" 1897
"Gm37348" 1789
"Gm37846" 3774
"Gm38274" 148
"Gm37533" 545
"Gm38044" 487
"Gm9723" 457
"Gm18865" 1171
"Gm36976" 1110
"Gm29739" 529
"Gm25714" 296
"Gm32175" 346
"Gm37746" 198
"Gm37365" 409
"Gm38128" 3250
"Gm37597" 382
"Gm24997" 105
"Gm27989" 107
"Gm38124" 2581
"5930409G06Rik" 1544
"2610316D01Rik" 1209
"Gm36996" 250
"Pcdh10" 15888
"1700027H10Rik" 584
"Gm2136" 2577
"Gm37345" 3138
"Gm37835" 361
"Gm38166" 471
"Gm32340" 259
"Gm25796" 163
"Gm23337" 118
"Gm26081" 132
"Gm18843" 719
"Pabpc4l" 5506
"Gm37445" 242
"Mir6379" 115
"Gm10356" 1258
"Gm5274" 1003
"Gm23891" 138
"Rpl23a-ps5" 466
"Gm10730" 2723
"Gm2229" 710
"Gm7977" 748
"Gm37295" 109
"1700018B24Rik" 593
"Gm37190" 688
"Gm23511" 164
"Gm31415" 344
"Gm37819" 1065
"Gm37684" 355
"Gm20557" 2794
"Gm5846" 1414
"Gm22480" 128
"Gm37424" 561
"Gm38261" 316
"Gm38088" 241
"Gm2328" 535
"Gm29741" 421
"Gm23096" 107
"Pcdh18" 5366
"Gm37550" 463
"Slc7a11" 13922
"Gm37854" 1463
"Gm37826" 322
"Gm37692" 232
"Gm2345" 589
"Gm37498" 4002
"Gm6209" 3685
"5830415G21Rik" 1332
"Gm38237" 376
"Gm37199" 4065
"Gm37461" 3704
"Gm24503" 135
"Gm37548" 3814
"Gm37843" 2639
"Gm37209" 1276
"Gm29230" 412
"Gm38246" 1511
"Noct" 10658
"Gm38357" 2464
"Elf2" 9563
"4930577N17Rik" 1625
"Gm24282" 66
"Gm37399" 416
"Gm37203" 385
"Gm5103" 1437
"Mgarp" 2067
"Gm9442" 319
"Ndufc1" 1495
"Naa15" 15427
"Gm37646" 111
"Gm38160" 2499
"Rab33b" 3538
"Gm37968" 3201
"Setd7" 10813
"Gm38200" 2111
"5031434O11Rik" 3731
"Gm38334" 313
"5430433H01Rik" 542
"Gm38247" 433
"Mgst2" 3703
"Gm37261" 1101
"Maml3" 10486
"Gm10729" 1375
"Gm37342" 4965
"Gm37229" 732
"n-R5s196" 117
"3110080O07Rik" 1021
"Gm38000" 1215
"Gm37675" 2847
"Gm38252" 2616
"Gm10728" 1831
"Gm20089" 2084
"Gm38055" 2217
"Gm37526" 619
"Gm37465" 3290
"C130089K02Rik" 6960
"5430420F09Rik" 1799
"Gm37202" 361
"Gm30074" 2541
"Gm38132" 1124
"Gm37170" 1934
"Olfr1398-ps1" 929
"Foxo1" 8665
"Gm20402" 687
"Gm38034" 2069
"Gm38098" 241
"Gm30173" 1128
"Gm10293" 1002
"Gm22798" 107
"Gm2447" 2058
"Gm30292" 3000
"Gm20750" 3515
"Gm37007" 319
"Cog6" 4957
"Gm42901" 3171
"Lhfp" 5108
"Gm42898" 3073
"Gm42899" 2667
"C130075A20Rik" 4176
"Gm43804" 456
"Gm43803" 766
"Gm43805" 824
"Gm43472" 154
"Gm43471" 467
"Nhlrc3" 9046
"Gm16206" 1966
"Proser1" 6114
"Stoml3" 2150
"6430500D05Rik" 1176
"Gm23675" 125
"Frem2" 13255
"Gm6073" 466
"Gm6204" 457
"Gm30735" 726
"Gm10727" 1602
"C820005J03Rik" 2312
"Gm24851" 103
"Gm10985" 81
"Ufm1" 5958
"Gm31026" 821
"Gm8109" 746
"Gm18018" 408
"Trpc4" 8032
"Postn" 8702
"Gm5641" 1488
"Gm26678" 3025
"B020017C02Rik" 1688
"Supt20" 6266
"Gm21958" 648
"Exosc8" 4333
"Alg5" 3728
"Smad9" 5368
"Rfxap" 2242
"Gm10254" 867
"Sertm1" 3215
"Ccna1" 1835
"4931419H13Rik" 973
"Gm43555" 310
"Spg20" 7683
"Ccdc169" 3334
"Gm22029" 121
"Sohlh2" 2364
"Dclk1" 15296
"Gm25132" 107
"Gm19817" 2132
"Gm42609" 3942
"Gm21954" 51
"Gm42607" 3393
"Gm42608" 2018
"Gm25404" 107
"Gm43548" 2353
"Gm43549" 2661
"Nbea" 31361
"Mab21l1" 2492
"4933417G07Rik" 1296
"Gm43376" 3420
"Gm22784" 132
"Gm42840" 2251
"Gm42842" 3004
"Gm42841" 1932
"Gm42843" 3616
"Gm25727" 131
"Gm2622" 471
"Gm22269" 130
"Gm8177" 1336
"Gm43424" 253
"Gm18660" 629
"Tm4sf1" 4163
"Gm5276" 1047
"Tm4sf4" 1496
"Wwtr1" 4779
"Gm16016" 550
"Gm26671" 1609
"Mir6377" 114
"Gm43437" 3955
"Commd2" 3312
"BB187690" 1176
"Ankub1" 4231
"Gm43098" 1297
"Gm6394" 477
"Rnf13" 10019
"Gm9645" 792
"Gm17951" 496
"Pfn2" 3541
"Gm24531" 100
"Gm42511" 234
"Gm40055" 2742
"Gm18867" 1179
"Gm42513" 2119
"Gm5537" 1252
"4921539H07Rik" 4325
"1700007F19Rik" 1642
"Gm26166" 107
"Gm43730" 372
"Gm20128" 417
"Tsc22d2" 11244
"Serp1" 4611
"Eif2a" 6118
"6720482G16Rik" 1192
"Selenot" 3436
