Geneid	E4-1	E4-2	LN-D4-1	LN-D4-2	LN-F6-1	LN-F6-2	LN-N4-1	LN-N4-2	LN-N4-3	N1	N2	N3	T-D4-1	T-D4-2	T-D4-3	T-F6-2	T-F6-3	T-N4-1	T-N4-2
Gm42640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm42484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm42483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm42486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm42976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm43045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm42999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930459L07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029E06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm43394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm43395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm43044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm43042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
Gm43043	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Gm43041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4933402J10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm42862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm43392	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm43393	0	0	2	2	0	3	1	0	2	0	1	1	1	2	0	0	1	0	0
Gm42861	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Cbfa2t2-ps1	6	9	11	3	11	10	7	9	9	7	20	11	0	1	0	0	0	2	0
Gm23331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm43390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm42860	0	1	4	1	2	0	2	1	0	3	2	2	0	0	4	1	1	2	1
Gm8182	0	1	2	0	1	2	0	0	0	0	0	3	1	1	0	0	0	2	2
1700014F14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm43382	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Gm43383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm43384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G6pd2	6	6	6	9	8	4	6	3	5	4	5	7	0	3	2	1	1	1	2
Gm42430	7	11	5	4	0	0	3	2	2	2	1	0	0	0	0	1	1	0	0
Gm22273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm43238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arap2	6027	4467	1899	3311	5967	5380	6284	5584	6484	4513	4994	4908	2246	2352	3972	2338	1340	1989	1120
Gm43237	168	23	8	59	30	9	38	31	21	32	25	23	37	74	180	60	14	42	15
Gm43753	225	28	18	83	87	40	91	41	78	47	58	17	71	86	427	156	55	90	54
Dthd1	0	3	1	0	2	1	0	0	1	2	0	0	5	0	8	3	10	9	2
Gm9954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nwd2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3687	4	1	0	1	2	0	0	1	0	1	2	5	0	3	0	0	0	1	0
0610040J01Rik	7	1	0	1	5	1	0	0	8	1	6	0	12	12	23	36	197	81	82
Rell1	500	887	756	555	687	556	835	578	405	1277	1436	1396	1549	1405	1602	668	1057	1584	1614
Gm15819	0	0	0	0	0	0	0	0	0	0	2	0	2	0	6	0	0	0	0
Gm43840	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Gm25608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5830416I19Rik	21	7	30	6	3	1	73	8	0	188	165	226	26	0	7	10	16	142	22
Pgm1	1787	3176	2809	2192	2389	2298	2589	2399	2197	1687	1873	1715	3006	2571	2557	3242	2972	3223	3354
Gm23967	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Gm22395	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0
Gm22559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d1	2987	3187	2804	1889	3689	4334	3459	2934	2301	2837	3778	3017	4735	4932	4578	1808	3069	4332	4373
Gm15824	22	1	2	0	5	11	2	4	16	2	1	2	8	9	22	9	3	12	6
Gm43721	137	4	1	22	14	10	1	14	12	12	5	0	8	0	9	0	1	13	0
Gm15823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6044	13	10	12	10	1	8	1	9	2	6	4	7	3	2	11	6	1	4	3
Gm43838	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0
Gm43837	2	10	18	9	4	0	13	14	0	8	2	6	0	0	6	0	0	1	0
Gm31363	7	2	1	2	0	0	0	2	0	5	0	0	0	0	3	0	1	0	1
1700027F09Rik	19	15	42	13	12	16	13	50	21	2	3	1	0	7	3	0	0	0	0
4930526M16Rik	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0
C030018K13Rik	8	3	0	9	0	0	0	1	0	5	1	0	0	1	0	0	0	1	0
Gm43836	0	2	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1
Gm43835	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Gm42566	1	0	0	0	1	1	2	3	1	4	0	2	0	2	1	0	0	2	2
Gm3716	5	5	3	2	0	1	5	5	0	2	15	6	4	0	1	0	2	2	1
Gm42564	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Gm42565	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Gm25306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26761	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	13	0	0
Gm20033	315	147	31	83	39	48	68	65	33	291	269	270	2	1	1	0	6	3	3
Klf3	11374	9881	3412	1825	6332	7758	8404	6577	5613	27737	22595	27132	339	223	201	202	338	328	342
C230096K16Rik	997	553	117	185	209	279	274	214	199	1409	1105	990	7	2	4	0	7	10	5
Tlr1	998	1288	1869	775	3869	4298	3907	4190	4279	1458	2710	1462	839	1372	719	427	1488	937	763
Tlr6	410	334	241	252	304	457	446	355	325	507	950	587	274	316	131	242	485	512	368
Fam114a1	74	76	43	28	67	53	93	87	126	128	144	118	133	154	71	77	378	142	241
Mir574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm43627	0	0	1	0	0	0	14	0	0	2	0	0	0	0	0	1	0	0	0
Tmem156	511	686	742	534	800	851	779	917	902	837	970	766	672	759	702	423	684	478	491
Klhl5	1185	1633	1865	1244	1221	1353	951	1946	1663	578	956	518	187	171	231	239	282	226	341
Gm25154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr19	96	255	193	151	327	322	370	373	350	546	397	405	346	210	223	327	309	216	395
Rfc1	4625	3504	3806	2794	3140	2756	2676	3502	2915	2511	3258	2806	2822	3330	3553	3616	3676	2910	3329
Gm43628	280	53	35	29	26	41	35	41	13	51	35	19	31	40	139	98	69	69	24
Klb	0	6	1	0	0	0	0	1	0	0	0	0	0	1	0	0	17	1	0
Rpl9	11748	7306	8892	10642	5933	5247	7201	7416	9390	9782	8174	8557	10908	11090	11900	20501	13785	9133	11228
Lias	2830	2185	2851	3730	2007	1862	1999	2497	2324	1922	1796	2101	3149	2690	2916	4449	2884	2239	2541
1110003F10Rik	23	9	9	6	6	3	18	5	1	17	5	6	9	4	24	22	5	14	11
Gm43311	1	3	3	12	9	5	2	2	0	1	9	8	2	1	7	9	2	3	7
Ugdh	2073	2909	3919	2779	3340	3165	3447	4209	3455	2868	2905	2820	3789	3808	3353	3136	4612	3429	4952
Gm43552	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Gm43289	3	5	6	7	9	6	6	9	12	17	11	19	10	13	52	27	21	7	16
Smim14	2527	3013	3686	4290	4436	4558	5155	4707	4417	7143	6369	6809	6619	6535	7069	5285	6354	6510	7356
Gm43290	4	1	2	0	1	5	0	1	7	6	8	4	0	5	12	9	18	16	3
4930589O11Rik	67	20	18	13	27	27	27	25	25	107	91	67	9	29	38	20	37	37	7
Gm42725	40	17	19	17	16	17	30	8	13	71	22	36	43	44	42	56	23	22	12
Ube2k	5670	5147	5158	5117	4273	3822	4014	4642	4379	3168	3135	3182	4358	4164	4233	3281	4305	3468	3820
Gm40309	678	133	147	65	200	147	171	166	81	318	228	127	86	78	388	117	124	108	82
Gm42726	1	3	2	0	1	1	0	2	1	0	3	1	0	0	7	15	1	3	9
Pds5a	7634	7428	7841	3928	7084	6861	5478	7320	5072	7519	7982	6727	1369	1462	2645	1425	1480	1455	1386
Gm42727	279	49	24	27	31	27	28	32	5	85	69	15	8	27	62	109	23	29	40
Gm42729	237	57	34	15	39	29	55	49	28	25	48	24	34	42	171	22	22	25	12
Gm24399	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Gm42728	93	6	10	10	10	4	6	18	15	12	18	11	11	0	27	14	19	18	10
C030017G13Rik	2	1	4	5	4	1	3	3	1	3	0	3	0	0	0	24	0	4	9
N4bp2os	4	1	5	8	2	1	0	5	6	16	18	10	0	1	2	0	0	0	0
N4bp2	1288	1060	1140	958	1170	975	922	1745	1104	3421	3551	3829	569	415	655	651	697	268	378
Gm24346	0	3	1	2	0	1	0	2	1	12	4	7	0	0	1	0	1	2	0
Gm42648	36	11	7	22	13	23	7	20	12	67	34	25	14	0	18	0	3	12	0
Gm42645	32	2	16	13	10	4	0	14	15	72	19	29	0	0	0	0	3	2	0
Gm42646	472	118	118	95	52	31	52	77	56	416	287	308	11	7	15	22	10	0	3
Gm43004	19	3	3	13	1	0	0	2	2	10	9	10	7	1	6	6	2	0	1
Rhoh	13795	12158	10595	11133	11003	11368	12502	11923	10984	23995	19401	22888	17531	17361	21679	20384	14143	12152	11620
Gm43769	297	144	238	406	59	70	62	155	73	576	332	474	137	104	120	105	125	29	37
Chrna9	27	10	3	9	0	3	0	4	0	41	59	66	0	3	1	8	10	0	1
4930480C01Rik	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0
Gm43771	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9130230L23Rik	2	16	11	6	3	2	1	9	0	1	0	0	16	0	8	27	13	2	0
Gm25952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbm47	228	100	97	105	191	98	139	111	91	3	40	9	290	143	296	387	575	372	328
Gm43775	160	46	47	96	37	24	35	40	33	58	39	46	37	22	80	43	30	45	8
Gm43323	82	0	0	7	2	2	0	2	1	0	7	0	0	10	31	15	19	7	6
Gm26725	2	2	0	4	2	2	1	1	5	0	0	0	1	6	4	0	2	1	0
Gm22929	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0
1700126H18Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm43772	1	3	0	1	1	0	0	0	0	2	0	2	0	0	0	0	1	0	0
Gm15794	2	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0
Gm3822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nsun7	0	15	0	11	2	5	2	0	0	0	0	0	2	3	11	15	5	7	1
Apbb2	90	36	140	129	83	56	26	43	56	40	97	252	42	87	53	8	199	29	134
Gm43790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm43793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
Gm16273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm43792	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0
Gm43794	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Gm43343	19	0	0	0	2	2	0	0	0	0	0	0	0	9	0	0	0	1	0
Gm43795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C530043K16Rik	14	7	3	1	5	8	0	4	0	5	14	2	0	8	1	4	0	0	13
Uchl1os	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uchl1	47	39	35	50	2	0	0	8	6	0	8	1	1	3	2	1	14	4	16
Gm43279	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
Gm43280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Limch1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	3	3	2	1	1
Gm6517	72	98	79	91	76	69	76	75	100	65	47	57	41	49	39	57	43	30	41
Gm43281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm43282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm42713	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Gm23841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phox2b	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Gm33167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Gm42670	23	39	5	10	15	13	6	14	9	6	15	29	25	10	27	19	21	10	15
Tmem33	3262	4855	4109	2779	4244	3875	4237	4014	3993	2817	3327	3112	4477	4337	4781	4548	5929	4631	5056
Slc30a9	2815	2728	2298	1176	2591	2710	2604	2730	2784	3366	3332	3418	836	570	1245	542	846	574	471
Gm43698	31	28	12	21	141	100	151	91	86	2579	1613	2390	5	4	3	0	15	0	0
Bend4	395	652	139	85	331	285	458	458	333	1065	806	928	195	154	329	993	837	365	747
Gm26756	0	0	0	0	0	0	0	0	0	5	0	4	0	2	3	5	7	0	1
Gm42632	0	15	4	1	3	4	12	5	0	12	7	0	0	10	0	1	2	0	0
Gm20072	4	1	3	3	1	1	2	0	3	4	0	1	0	0	2	5	0	0	2
C330024D21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025A08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shisa3	0	0	7	0	1	4	0	0	0	0	4	7	0	0	3	0	5	0	2
Atp8a1	567	583	667	455	1784	1919	1635	1446	1179	2970	3930	2875	468	348	636	554	788	484	697
Gm23617	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Gm42735	35	11	6	7	26	18	31	31	25	37	52	32	4	0	27	25	19	14	11
Gm15478	5	1	1	5	5	2	1	4	1	11	14	4	1	0	3	4	1	2	1
Gm42737	7	0	1	0	0	0	7	3	0	0	10	2	0	0	31	16	11	0	10
D630030B08Rik	92	0	5	0	9	9	39	11	28	53	46	34	4	5	31	24	23	39	31
Gm42466	40	52	24	36	35	31	42	66	43	57	101	54	12	1	38	2	15	5	5
Gm15477	15	6	0	1	5	4	13	7	13	6	23	10	0	0	7	0	2	0	0
Gm42736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm21905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930425K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm43027	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
Gm43028	11	3	6	12	2	2	5	3	12	13	5	4	1	2	4	11	2	2	2
Grxcr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm43025	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Gm43026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm42850	4	0	1	0	1	1	0	2	0	5	1	0	0	0	1	1	1	2	0
Gm43842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kctd8	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	28	7	22	6
D130004A15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	3	0	0
Gm43371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Gm43373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gm43374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm43230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Gm43229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Gm42888	0	0	0	0	0	0	0	0	0	6	0	0	0	14	7	7	0	10	0
Gm24368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Gm5867	19	35	31	18	34	23	29	28	32	20	13	19	2	7	9	54	24	7	27
Gm42887	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Yipf7	4	0	0	3	2	0	0	0	1	0	1	0	1	4	5	8	0	6	7
3110031N09Rik	2	0	0	1	1	0	0	0	0	4	4	3	3	0	1	1	1	1	0
Guf1	2103	2020	1691	1477	1231	1447	1472	1790	1640	1919	1810	1599	348	265	628	262	362	319	244
Gnpda2	1668	1927	2400	1918	1781	1845	2029	2109	2199	2089	1970	1962	2744	2475	3033	2925	2732	2407	2797
Gm26044	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm43139	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Gm23067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm42652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm42653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Gabrg1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
Gabra2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0
Cox7b2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Gabra4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gabrb1	0	0	1	1	2	1	0	1	0	0	0	0	1	1	37	0	3	1	0
Gm38562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15617	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Gm15616	9	8	4	6	3	5	2	5	7	4	4	1	2	3	1	6	1	0	6
Commd8	7778	9626	8442	8639	7253	6810	7654	7345	7041	8050	7450	8165	8014	9286	8517	5914	6497	7944	6251
Gm42569	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Atp10d	1626	1145	1154	912	2554	2977	2661	2195	1746	2001	2399	2304	2411	3024	3030	454	602	2468	984
Corin	1	0	0	5	6	1	0	0	0	0	12	15	0	10	1	0	0	0	6
Gm25768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AU023070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfxl1	476	376	561	332	530	657	578	588	277	488	559	714	313	241	367	134	646	370	423
Gm43815	0	2	1	4	7	4	0	0	0	0	0	1	0	1	9	0	1	0	0
Gm34144	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zar1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1
Gm5868	13	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Cnga1	248	319	31	3	107	63	48	73	43	839	598	903	0	28	46	1	22	7	10
Gm5297	34	17	9	13	12	9	7	14	15	10	19	9	1	7	2	8	5	2	3
4933408A14Rik	0	7	2	9	9	7	0	0	2	6	2	7	7	3	0	0	0	2	0
Nipal1	168	396	167	159	329	363	437	336	660	1985	1508	2091	271	230	220	118	221	247	191
Txk	4284	5677	2339	2066	4255	4123	4439	4700	4218	17219	15362	17223	2738	1487	2658	6591	5185	2640	5328
Gm43717	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Tec	855	916	788	402	1191	1009	917	1497	1269	3882	3154	3921	2349	2102	2485	1812	2673	1975	3071
Gm43499	3	0	7	0	2	11	11	5	14	0	0	0	4	18	43	0	22	8	9
Gm9870	0	0	6	0	4	7	8	0	0	19	7	20	0	0	0	11	0	1	0
Slain2	2976	5124	4827	3115	5299	5567	5154	5386	4333	5193	4884	5030	1071	700	1111	407	727	720	634
Gm10135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24776	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Slc10a4	0	2	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Gm15847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Gm42668	1	1	0	0	4	0	1	1	0	0	1	0	0	1	0	0	0	1	0
Fryl	3862	2184	1594	1296	2723	2644	2484	2140	1482	3144	3512	2985	5655	7366	8264	5186	5802	9224	10051
Gm42572	52	2	6	9	7	5	1	11	2	10	22	11	6	0	39	10	6	11	19
1700071G01Rik	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Gm42571	126	5	5	6	26	8	7	25	6	42	16	11	34	8	101	19	21	49	31
Gm17207	0	5	1	0	6	5	3	0	0	1	7	3	10	10	18	0	2	4	2
Gm34411	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Gm42734	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0
Ociad1	6871	8515	7892	6165	7249	7069	7867	8575	9405	8774	7429	8188	7655	7293	6775	9244	8324	7077	7534
Gm42733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm42732	108	22	5	9	17	12	15	25	11	15	17	7	6	12	19	12	6	10	22
Ociad2	27	14	23	21	25	11	4	18	13	4	3	1	54	12	52	266	171	43	282
Gm34583	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Gm35960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cwh43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
Gm43798	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15653	0	11	1	2	4	1	1	1	2	4	3	1	0	1	1	0	0	0	1
Dcun1d4	642	464	876	354	536	609	638	593	493	744	1014	808	788	823	804	45	367	961	586
Lrrc66	0	5	7	21	1	0	9	0	1	0	21	6	2	0	0	0	0	0	0
Sgcb	1118	1144	1390	843	974	924	819	823	719	701	948	836	963	952	1193	205	859	1016	704
Gm43799	3	1	8	2	7	12	5	2	8	7	19	12	0	2	3	0	1	0	0
Spata18	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1700019F05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C78283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp46	435	479	414	170	413	420	250	448	511	242	194	274	470	506	513	771	698	624	1078
Usp46os1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
Usp46os2	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0
Gm43417	8	8	8	1	9	2	20	0	1	1	17	0	20	0	17	17	18	17	41
Gm43415	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Gm43416	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	1	0	1	0
Dancr	405	143	156	235	104	128	126	181	216	176	156	115	173	153	186	217	128	125	90
Snora26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A330058E17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasl11b	138	210	207	337	108	94	101	105	75	295	314	349	160	164	155	110	62	122	67
Scfd2	1449	1889	1207	1262	1538	1541	1740	1885	1602	1537	2019	1710	1376	1300	1499	2070	1465	1713	2024
Gm42599	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	6	0	0
Gm15981	0	0	0	0	2	1	0	3	1	0	0	0	5	2	0	0	0	0	0
Gm15982	35	0	4	5	2	6	5	8	0	14	8	0	11	2	26	7	7	1	1
6720475M21Rik	39	0	6	9	3	4	21	4	12	15	20	0	14	1	34	2	6	10	1
Gm43167	6	9	13	5	7	15	6	6	0	13	13	16	12	11	40	14	5	13	4
Fip1l1	6499	7375	7007	5307	7285	6893	6608	7498	6206	6745	7453	7135	7880	7780	8616	7842	8036	8234	8486
Gm43747	8	2	1	1	4	1	2	4	0	13	5	1	3	2	10	14	7	1	2
Lnx1	0	0	1	0	5	0	0	6	5	5	0	0	2	9	12	10	3	2	2
Gm15984	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Gm15985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm42575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17906	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Gm6116	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Gm42577	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	3
Chic2	3318	3844	3749	4500	3583	3363	3967	4692	4636	4609	4348	4735	836	509	1244	416	538	510	491
Gm42576	216	24	47	76	67	59	89	83	31	155	95	70	89	51	309	82	103	44	64
